Epochs,FID,,,,,
0,7.056297779083250,,,,,
10,5.094814777374270,,,,,
20,6.353731632232670,,,,,
30,6.094477653503420,,,,,
40,7.0124053955078100,,,,,
50,6.867018222808840,,,,,
60,6.853008270263670,,,,,
70,6.966197967529300,,,,,
80,7.972830295562740,,,,,
90,7.056209564208980,,,,,
100,7.505733966827390,,,,,
110,7.421794414520260,,,,,
120,7.857597827911380,,,,,
130,6.602066516876220,,,,,
140,7.02119779586792,,,,,
150,7.382381916046140,,,,,
160,7.294217586517330,,,,,
170,7.258927822113040,,,,,
180,7.240422248840330,,,,,
190,7.436068058013920,,,,,
200,7.533785343170170,,,,,
